id,item1,item2,item3,item4
L5giCPUA,4,7,6,6
NAG7jlEg,6,5,5,5
RKhXG4TR,7,4,4,5
H6L5vuIl,5,6,5,6
BRoNICFz,5,5,5,5
BqyBbeHB,5,6,5,5
YBkdM3G2,5,6,6,6
nvspMUl7,5,6,6,6
js4fR3UZ,5,6,7,6
pvshfVI8,6,5,5,5
ZdNG07Qb,5,6,7,6
cVVOMeHb,6,5,6,5
DQLeNpGS,5,6,6,6
JoqyFku9,5,6,6,6
iIsVAt2a,6,5,5,5
W7JQZzFo,6,5,5,5
u9apJROL,6,6,6,5
n9sgJlCs,7,5,5,5
xQciPpQV,5,6,6,6
IC7aQeLM,6,5,4,5
uHLQtKoM,6,6,6,6
GmMDrE7y,5,5,5,5
OPKPF0Lq,6,5,4,5
GUmdBLBs,7,5,4,4
lvdkjw8C,7,5,4,6
oajCwECc,6,4,6,5
lYMHBadG,6,5,6,5
GdbWgkcD,6,5,5,5
WUlEIGhH,4,7,7,6
o3Ijmg5F,8,4,3,4
